trade_id,from_team,to_team,asset_type,asset_name,asset_detail,acq_date,end_date,conditional_flag,condition_notes,condition_validation
20230209_STL_NYR,STL,NYR,RETAINED,Salary retention,50% retained by STL,2023-02-09,,N,,
20230209_STL_NYR,NYR,STL,PICK,2023 1st Round Pick,Lower of DAL and NYR picks | Used on Theo Lindstein,2023-02-09,2023-06-28,Y,Pick conveyed is the lower of DAL and NYR 2023 1sts.,CONVEYED_AND_USED
20230209_STL_NYR,DRAFT,STL,PROSPECT,Theo Lindstein,Drafted with 2023 1st Round Pick,2023-06-28,,N,,
20230209_STL_NYR,NYR,STL,PICK,2024 4th Round Pick,Becomes 2024 3rd if NYR makes playoffs,2023-02-09,,Y,Upgrade to 3rd if NYR makes playoffs.,CONDITION_MET__UPGRADED_TO_3RD_(REPLACED_BY_2024_3RD)
20230209_STL_NYR,DRAFT,NYR,PROSPECT,Nathan Aspinall,Drafted with 2024 4th Round Pick,2024-06-29,,0,,
20230209_STL_NYR,NYR,STL,PICK,2024 3rd Round Pick,Upgrade path | Used on Adam Jecho,2023-02-09,2024-06-28,Y,Only if NYR makes playoffs; otherwise remains 4th.,CONVEYED_AND_USED
20230209_STL_NYR,DRAFT,STL,PROSPECT,Adam Jecho,Drafted with 2024 3rd Round Pick,2024-06-28,,N,,
20230301_ARI_OTT,ARI,OTT,PLAYER,Jakob Chychrun,,2023-03-01,,N,,
20230301_ARI_OTT,OTT,ARI,PICK,2023 1st Round Pick,Top-5 protected | Used on Daniil But,2023-03-01,2023-06-28,Y,"If top-5 in 2023, converts to unprotected 2024 1st.",CONVEYED_AND_USED
20230301_ARI_OTT,DRAFT,UTA,PROSPECT,Daniil But,Drafted with 2023 1st Round Pick,2023-06-28,,N,,
20230301_ARI_OTT,OTT,ARI,PICK,2024 1st Round Pick,Unprotected (if 2023 protected),2023-03-01,,Y,Only if 2023 1st is top-5 and does not convey.,CONDITION_NOT_MET__NOT_CONVEYED
20230301_ARI_OTT,DRAFT,OTT,PROSPECT,Carter Yakemchuk,Drafted with 2024 1st Round Pick,2024-06-28,,0,,
20230301_ARI_OTT,OTT,ARI,PICK,2023 2nd Round Pick,Conditional upgrade,2023-03-01,,Y,Becomes 2024 1st (top-10 protected) if OTT reaches 2023 ECF; otherwise remains a 2nd.,CONDITION_MET__CONVEYED_AND_USED
20230301_ARI_OTT,DRAFT,CHI,PROSPECT,Roman Kantserov,Drafted with 2023 2nd Round Pick,2023-06-28,,0,,
20230301_ARI_OTT,OTT,ARI,PICK,2024 1st Round Pick,Conditional (ECF); top-10 protected,2023-03-01,,Y,"Only if OTT reaches 2023 ECF; if protected in top-10, becomes unprotected 2025 1st.",CONDITION_NOT_MET__NOT_CONVEYED
20230301_ARI_OTT,DRAFT,OTT,PROSPECT,Carter Yakemchuk,Drafted with 2024 1st Round Pick,2024-06-28,,0,,
